Longitude,Latitude,Depth,Observed Count,Smoothed Rate,b-value
122.86,5.89,5,0,0.00183284,0.8
122.96,5.89,5,0,0.00631689,0.8
123.06,5.89,5,0,0.0187268,0.8
123.16,5.89,5,0,0.0520483,0.8
123.26,5.89,5,0,0.131754,0.8
123.36,5.89,5,0,0.303557,0.8
123.46,5.89,5,0,0.636963,0.8
123.56,5.89,5,0,1.21822,0.8
123.66,5.89,5,0,2.12798,0.8
123.76,5.89,5,0,3.39768,0.8
123.86,5.89,5,0,4.98084,0.8
123.96,5.89,5,0,6.73895,0.8
124.06,5.89,5,0,8.4743,0.8
124.16,5.89,5,0,9.9934,0.8
124.26,5.89,5,0,11.1629,0.8
124.36,5.89,5,0,11.9296,0.8
124.46,5.89,5,0,12.2914,0.8
124.56,5.89,5,0,12.2732,0.8
124.66,5.89,5,0,11.9135,0.8
124.76,5.89,5,0,11.2783,0.8
124.86,5.89,5,0,10.4702,0.8
124.96,5.89,5,0,9.61459,0.8
125.06,5.89,5,0,8.81778,0.8
125.16,5.89,5,0,8.12718,0.8
125.26,5.89,5,0,7.5234,0.8
125.36,5.89,5,0,6.95295,0.8
125.46,5.89,5,0,6.37173,0.8
125.56,5.89,5,0,5.82414,0.8
125.66,5.89,5,0,5.46324,0.8
125.76,5.89,5,0,5.57119,0.8
125.86,5.89,5,0,6.51435,0.8
125.96,5.89,5,0,8.66011,0.8
126.06,5.89,5,0,12.2419,0.8
126.16,5.89,5,0,17.2097,0.8
126.26,5.89,5,0,23.1147,0.8
126.36,5.89,5,0,29.1108,0.8
126.46,5.89,5,0,34.1324,0.8
126.56,5.89,5,0,37.236,0.8
126.66,5.89,5,0,37.9338,0.8
126.76,5.89,5,0,36.3992,0.8
126.86,5.89,5,0,33.4027,0.8
126.96,5.89,5,0,30.0132,0.8
127.06,5.89,5,0,27.1994,0.8
127.16,5.89,5,0,25.495,0.8
127.26,5.89,5,0,24.8578,0.8
127.36,5.89,5,0,24.7568,0.8
127.46,5.89,5,0,24.435,0.8
127.56,5.89,5,0,23.2437,0.8
127.66,5.89,5,0,20.8897,0.8
127.76,5.89,5,0,17.5253,0.8
127.86,5.89,5,0,13.6255,0.8
127.96,5.89,5,0,9.78359,0.8
128.06,5.89,5,0,6.47211,0.8
128.16,5.89,5,0,3.93961,0.8
128.26,5.89,5,0,2.20315,0.8
128.36,5.89,5,0,1.13197,0.8
128.46,5.89,5,0,0.534135,0.8
128.56,5.89,5,0,0.231568,0.8
128.66,5.89,5,0,0.0918224,0.8
128.76,5.89,5,0,0.0332689,0.8
128.86,5.89,5,0,0.0099625,0.8
128.96,5.89,5,0,0.00261889,0.8
129.06,5.89,5,0,0.000627969,0.8
122.86,5.79,5,0,0.00151429,0.8
122.96,5.79,5,0,0.00550029,0.8
123.06,5.79,5,0,0.016709,0.8
123.16,5.79,5,0,0.0458079,0.8
123.26,5.79,5,0,0.116235,0.8
123.36,5.79,5,0,0.268342,0.8
123.46,5.79,5,0,0.564345,0.8
123.56,5.79,5,0,1.08311,0.8
123.66,5.79,5,0,1.89802,0.8
123.76,5.79,5,0,3.0442,0.8
123.86,5.79,5,0,4.48788,0.8
123.96,5.79,5,0,6.11707,0.8
124.06,5.79,5,0,7.76462,0.8
124.16,5.79,5,0,9.2633,0.8
124.26,5.79,5,0,10.4929,0.8
124.36,5.79,5,0,11.3875,0.8
124.46,5.79,5,0,11.923,0.8
124.56,5.79,5,0,12.096,0.8
124.66,5.79,5,0,11.9184,0.8
124.76,5.79,5,0,11.4347,0.8
124.86,5.79,5,0,10.7341,0.8
124.96,5.79,5,0,9.93484,0.8
125.06,5.79,5,0,9.14073,0.8
125.16,5.79,5,0,8.40337,0.8
125.26,5.79,5,0,7.71258,0.8
125.36,5.79,5,0,7.02815,0.8
125.46,5.79,5,0,6.32819,0.8
125.56,5.79,5,0,5.67571,0.8
125.66,5.79,5,0,5.24715,0.8
125.76,5.79,5,0,5.34248,0.8
125.86,5.79,5,0,6.34972,0.8
125.96,5.79,5,0,8.66219,0.8
126.06,5.79,5,0,12.5433,0.8
126.16,5.79,5,0,17.9521,0.8
126.26,5.79,5,0,24.4162,0.8
126.36,5.79,5,0,31.0153,0.8
126.46,5.79,5,0,36.5773,0.8
126.56,5.79,5,0,40.0402,0.8
126.66,5.79,5,0,40.8456,0.8
126.76,5.79,5,0,39.1625,0.8
126.86,5.79,5,0,35.8217,0.8
126.96,5.79,5,0,31.9873,0.8
127.06,5.79,5,0,28.7164,0.8
127.16,5.79,5,0,26.604,0.8
127.26,5.79,5,0,25.6311,0.8
127.36,5.79,5,0,25.2655,0.8
127.46,5.79,5,0,24.7416,0.8
127.56,5.79,5,0,23.3982,0.8
127.66,5.79,5,0,20.9408,0.8
127.76,5.79,5,0,17.5111,0.8
127.86,5.79,5,0,13.5801,0.8
127.96,5.79,5,0,9.72892,0.8
128.06,5.79,5,0,6.42373,0.8
